Date,Lido.5,market_cap
3/1/2023,9296825148,2538813750
3/2/2023,9620593714,2550521763
3/3/2023,9557902329,2562079083
3/4/2023,9153048249,2369255599
3/5/2023,9137117453,2162861350
3/6/2023,9147314198,2226596777
3/7/2023,9127026748,2197456303
3/8/2023,9173596299,2159418024
3/9/2023,8969852117,2015010658
3/10/2023,8374692208,1912563001
3/11/2023,8448997878,1976741720
3/12/2023,8622372277,1814936426
3/13/2023,9520656813,2077814315
3/14/2023,9891676011,2278137906
3/15/2023,10064792572,2369299964
3/16/2023,9788876043,1972924892
3/17/2023,9900397520,2066403770
3/18/2023,10655292076,2193072093
3/19/2023,10571024286,2125547848
3/20/2023,10585485878,2159747614
3/21/2023,10481967475,1974101745
3/22/2023,10692277198,2069188233
3/23/2023,10415577735,2038346482
3/24/2023,10782514766,2000013579
3/25/2023,10512456268,1847236073
3/26/2023,10462997086,1759704868
3/27/2023,10626234935,1863739465
3/28/2023,10517427392,1808983056
3/29/2023,10613089442,2004869605
3/30/2023,10731866826,2060960279
3/31/2023,10815594771,1982650449
4/1/2023,10922627301,2118961662
4/2/2023,10886658031,2075595298
4/3/2023,10737547005,2017943931
4/4/2023,10843923674,2077048530
4/5/2023,11425885344,2226232121
4/6/2023,11410804307,2246745518
4/7/2023,11306862801,2242308794
4/8/2023,11169270827,2162332526
4/9/2023,11174909540,2071840307
4/10/2023,11210286649,2036522329
4/11/2023,11514657449,2140179865
4/12/2023,11415894400,2025021906
4/13/2023,11519570041,2031108977
4/14/2023,12679153302,2130965418
4/15/2023,12661382655,2283115689
4/16/2023,12713971705,2184681628
4/17/2023,12711652054,2242075058
4/18/2023,12670156316,2168277412
4/19/2023,12866240352,2202446895
4/20/2023,11965670376,1965224010
4/21/2023,12036087665,1865839769
4/22/2023,11408312026,1785483383
4/23/2023,11523294153,1838073633
4/24/2023,11562133755,1807279454
4/25/2023,11451796786,1822627326
4/26/2023,11663921341,1876561851
4/27/2023,12026426602,1799507645
4/28/2023,11926934834,1872429052
4/29/2023,11866400137,1827323488
4/30/2023,11969869690,1838657216
5/1/2023,11862722689,1786808030
5/2/2023,11554574211,1730113799
5/3/2023,11807514210,1745768955
5/4/2023,12146280670,1773196591
5/5/2023,12010112400,1665966265
5/6/2023,12820678838,1701692545
5/7/2023,12231194804,1619030753
5/8/2023,12093641807,1611242003
5/9/2023,11964929826,1598763953
5/10/2023,12061916616,1622747521
5/11/2023,12020341154,1646067515
5/12/2023,11857648506,1454170023
5/13/2023,12094459159,1661315671
5/14/2023,12086630471,1656888118
5/15/2023,12050111288,1695739279
5/16/2023,12336485683,1875806150
5/17/2023,12428309491,1939261522
5/18/2023,11676220681,2080650945
5/19/2023,11659889155,1888801256
5/20/2023,11761640910,1914817765
5/21/2023,11932759672,1881095952
5/22/2023,11859851378,1818867535
5/23/2023,12038781499,1783280158
5/24/2023,12483581476,1796681518
5/25/2023,12152063016,1816185868
5/26/2023,12261662791,1768340646
5/27/2023,12525164678,1750929608
5/28/2023,12699895192,1735102163
5/29/2023,13265641840,1848715354
5/30/2023,13128479177,1919693191
5/31/2023,13320264442,1899012755
6/1/2023,13186075637,1843093842
6/2/2023,13213209957,1834659674
6/3/2023,13581630491,2023539751
6/4/2023,13534596887,2026929366
6/5/2023,13499806835,2005705897
6/6/2023,12994647709,1941808114
6/7/2023,13608689123,2114133017
6/8/2023,13279517052,2004509554
6/9/2023,13374801948,1902175689
6/10/2023,13298497149,1894111477
6/11/2023,12658806802,1600543185
6/12/2023,12664068776,1598101473
6/13/2023,12565609249,1576700115
6/14/2023,12659197483,1558842783
6/15/2023,12659197483,1487163910
6/16/2023,12748691975,1480766825
6/17/2023,12748691975,1540060434
6/18/2023,12623114009,1572421799
6/19/2023,12619107114,1506068657
6/20/2023,12830378845,1557933022
6/21/2023,13261343755,1631568550
6/22/2023,14181059656,1718112951
6/23/2023,13959826701,1667925869
6/24/2023,14054834325,1693879277
6/25/2023,13986640825,1607529952
6/26/2023,14157655737,1704453967
6/27/2023,13964783717,1691266736
6/28/2023,14050708813,1719687329
6/29/2023,13758006694,1632932908
6/30/2023,13951078501,1654945070
7/1/2023,14635473027,1804832493
7/2/2023,14618052475,1877243488
7/3/2023,14753808923,1868593106
7/4/2023,14903732389,1938983911
7/5/2023,14785171276,1906026470
7/6/2023,14537272523,1817653598
7/7/2023,14136026936,1699214201
7/8/2023,14373006487,1698320936
7/9/2023,14355126151,1718812577
7/10/2023,14328936409,1691433821
7/11/2023,14468614213,1722786394
7/12/2023,14501856696,1685880437
7/13/2023,14523842176,1658576054
7/14/2023,15702768872,1997612579
7/15/2023,15102160468,2057404009
7/16/2023,15137251267,2033632834
7/17/2023,15058473485,1910154159
7/18/2023,15005023017,1812822744
7/19/2023,14967740892,1778825297
7/20/2023,14843258800,1831397089
7/21/2023,14860776832,1806203418
7/22/2023,14907017459,1777027224
7/23/2023,14652662516,1745220011
7/24/2023,14917151373,1801027290
7/25/2023,14636086245,1736164142
7/26/2023,14721066652,1718725816
7/27/2023,14837123634,1694247082
7/28/2023,14832020829,1680377110
7/29/2023,14966842577,1698351073
7/30/2023,15041003840,1712643593
7/31/2023,15009087733,1660148248
8/1/2023,14948825222,1625127718
8/2/2023,14995249671,1701346316
8/3/2023,14794566484,1625085828
8/4/2023,14769826320,1643595255
