Date,Lido.5,market_cap
nan,Liquid Staking,
nan,Total,
nan,TVL,
nan,,
2020-12-20,1484680.7284947846,
2020-12-21,2697598.3123804107,
2020-12-22,3410253.516725309,
2020-12-23,4563625.9195428,
2020-12-24,4661610.562224566,
2020-12-25,5347131.755681057,
2020-12-26,7325073.36245567,
2020-12-27,7408641.784875614,
2020-12-28,8347237.651847627,
2020-12-29,11344171.902470186,
2020-12-30,11765090.773599079,
2020-12-31,12119912.5203128,
2021-01-01,12582167.785034006,
2021-01-02,12543454.040580653,
2021-01-03,12514881.979053903,
2021-01-04,14195762.010329973,
2021-01-05,16274684.16131069,5193325.774885025
2021-01-06,18325628.49594711,5193325.774885025
2021-01-07,20965573.74738898,5667691.609360571
2021-01-08,22570112.840209346,4586996.157827637
2021-01-09,25529569.341459043,4803312.257938731
2021-01-10,26299896.12437968,2728719.816341152
2021-01-11,33624539.75084533,3216775.302110387
2021-01-12,28869701.748775296,2865817.823184506
2021-01-13,30663261.6134013,2659361.2625465486
2021-01-14,50094240.95443638,3367904.432519941
2021-01-15,73598480.99316934,3418068.7848715847
2021-01-16,81861176.08144091,3061676.4003600613
2021-01-17,85283818.30063532,2855813.41881406
2021-01-18,86160071.78733306,6889235.632986919
2021-01-19,87391374.57901919,6954148.213200837
2021-01-20,99335242.45683064,7679713.0220706
2021-01-21,100287613.82475188,6914900.994510031
2021-01-22,96701078.68189676,5492554.314058194
2021-01-23,92488787.17936112,5591096.061756206
2021-01-24,110569488.7650661,6848073.871231097
2021-01-25,121085410.26797724,12162866.209006058
2021-01-26,127510734.09330429,9344765.823503695
2021-01-27,127250330.17262952,16672800.3023407
2021-01-28,126687251.18967286,13629666.736110166
2021-01-29,130256710.6861983,12315638.104627768
2021-01-30,137228376.2509749,12688985.860507652
2021-01-31,135996393.48543438,12274278.534617355
2021-02-01,142145275.28992712,17579716.31118049
2021-02-02,142743932.61413607,26355834.941170327
2021-02-03,167649885.679111,25648561.90081328
2021-02-04,192995719.61085722,27257705.69157584
2021-02-05,207027159.7508004,24113035.00269735
2021-02-06,211317161.22480392,26127684.173541658
2021-02-07,222659990.38239062,23558542.72840129
2021-02-08,223083142.25739408,22346925.64847701
2021-02-09,226682734.5152434,23713914.70721722
2021-02-10,244636373.57562083,22316138.56934493
2021-02-11,258690801.88511303,19454759.24405055
2021-02-12,257373193.4633959,31277276.870073788
2021-02-13,255301490.0743725,32401022.57829829
2021-02-14,261404596.68810263,34112061.05625659
2021-02-15,300220386.8915475,34390632.03513136
2021-02-16,289892552.514572,35684874.82995737
2021-02-17,294701079.7907254,36809712.63309075
2021-02-18,298817631.43701607,30420169.28026765
2021-02-19,340560743.3388701,29408699.10761249
2021-02-20,347618380.50973696,24133677.52531473
2021-02-21,363633943.79132575,21329626.056832828
2021-02-22,357021502.4111183,21487987.109922364
2021-02-23,333163674.62845737,19677117.78658416
2021-02-24,267003426.95108965,15103003.214490984
2021-02-25,303534847.4143015,14604686.401634237
2021-02-26,294421081.343214,13690033.660992114
2021-02-27,270362309.3174485,13042412.286170175
2021-02-28,269803675.94705355,12854253.403150711
2021-03-01,250111049.094379,11617309.18251495
2021-03-02,279680304.4492245,11811847.715804234
2021-03-03,284790615.1831691,12242565.719102226
2021-03-04,294543162.56718147,11853675.114342498
2021-03-05,287090601.5822907,9733794.81385422
2021-03-06,272111645.803876,11017868.610404452
2021-03-07,288340247.01201546,11386037.09193274
2021-03-08,308683748.1326859,10165413.669137046
2021-03-09,316855760.4021459,10995633.053791652
2021-03-10,337615557.6198189,11081128.049763989
2021-03-11,338318383.0294668,9828673.839455511
2021-03-12,329516422.5972691,12878093.067837302
2021-03-13,332363356.11232567,12002900.299214734
2021-03-14,343424416.16998214,12316440.050956829
2021-03-15,350346676.09227663,11750630.006793303
2021-03-16,332987874.8792163,11531046.512322271
2021-03-17,336938520.50597376,12605473.69241034
2021-03-18,460583631.99973506,12644920.07594477
2021-03-19,509773361.0381641,11752894.972724175
2021-03-20,574607276.4489301,11459666.01173656
2021-03-21,587935872.8126371,12039055.748894012
2021-03-22,602769063.3151426,10826825.17033116
2021-03-23,618289929.7678523,10435175.353167811
2021-03-24,569500275.5639069,11392582.720645782
2021-03-25,606935658.6192231,11194695.043365812
2021-03-26,583873492.2121556,10928169.499812491
2021-03-27,625796928.8208034,10779604.361016754
2021-03-28,630767135.1429259,13077524.39586327
2021-03-29,649286652.8515687,12793547.828376712
2021-03-30,704078283.925408,12946647.615119625
2021-03-31,741152297.2594483,18980215.187324844
2021-04-01,743763681.7833433,22549386.09622692
2021-04-02,779177993.8258731,23610399.34159212
2021-04-03,799026221.4727938,25487383.318624374
2021-04-04,821105326.6525967,29680350.50346709
2021-04-05,807264483.1068524,30570592.63250872
2021-04-06,804754966.3080852,25604551.23220559
2021-04-07,810757400.1205686,23283083.556758087
2021-04-08,805140938.9068658,23472893.615566816
2021-04-09,819712012.925154,24596974.35745356
2021-04-10,934439179.552594,24689734.934545327
2021-04-11,965035169.201411,35473827.94734177
2021-04-12,951022763.8635453,32308824.94347607
2021-04-13,981448867.5249593,27725107.27894096
2021-04-14,1073726481.5553138,29837988.889005084
2021-04-15,1080081949.8364763,24750694.822821323
2021-04-16,1131586581.3459582,25261749.114035062
2021-04-17,1154120907.6943285,28327831.97535352
2021-04-18,1161711743.0288892,27988433.26149816
2021-04-19,991105854.8704624,23602794.55799921
2021-04-20,1189430787.6315682,22951457.10581065
2021-04-21,1089818460.7395067,24637049.840248905
2021-04-22,1160402395.1177402,23472881.58125051
2021-04-23,1228013431.013637,22707342.07421061
2021-04-24,1101462978.1117454,21633086.86676058
2021-04-25,1187254629.9023447,22293375.2535928
2021-04-26,1271627756.8882568,24045857.30885936
2021-04-27,1385400252.5739076,24257595.43280608
2021-04-28,1455239310.4250093,34295246.26226976
2021-04-29,1430439245.390184,46200392.2534224
2021-04-30,1475154399.6154623,47736197.8205491
2021-05-01,1511692566.652944,70555213.30927257
2021-05-02,1511145432.0870814,66594579.96330167
2021-05-03,1567952725.4738185,285560320.23894
2021-05-04,1716457044.3433084,556626742.5459601
2021-05-05,1700927523.7804737,478402720.7722847
2021-05-06,1764741635.4668603,671228537.2166988
2021-05-07,1782883841.9666786,381809234.2294298
2021-05-08,1867000732.2600732,430244675.2037648
2021-05-09,1981645031.5967345,595016976.85067
2021-05-10,2145406106.9922378,553858996.8458414
2021-05-11,2216323676.0048256,543578162.8620962
2021-05-12,2125008558.2293367,545372678.7166026
2021-05-13,2261368556.1800184,489553783.3530228
2021-05-14,2194510145.971345,460308267.7065222
2021-05-15,2009113421.2698991,490062365.0809148
2021-05-16,2044538182.534303,445387310.9636903
2021-05-17,1889629618.435471,406685520.22544414
2021-05-18,1973541990.692483,87000084.66951098
2021-05-19,1366850255.2059174,114676878.66236724
2021-05-20,1503975800.594576,70270019.32875088
2021-05-21,1197332029.0937738,88671457.6118614
2021-05-22,1268520009.2069798,62443517.32983959
2021-05-23,1089389749.186681,54958952.86077851
2021-05-24,1436918532.7187488,48596575.85821763
2021-05-25,1457761756.189034,67180287.99585164
2021-05-26,1572288635.29704,76762422.05377015
2021-05-27,1541603698.7498138,74055363.14108326
2021-05-28,1369256784.5486147,64701524.99559687
2021-05-29,1284551120.097199,51453827.54149884
2021-05-30,1371812777.2011275,48908815.40616466
2021-05-31,1568761944.1667514,54761989.29565248
2021-06-01,1536235064.3691893,65456496.37800453
2021-06-02,1614326124.4343305,61696592.92297897
2021-06-03,1740486738.4834661,66261075.71215782
2021-06-04,1621178893.8831084,69151928.26205921
2021-06-05,1545877559.2035532,63841802.391749
2021-06-06,1607248302.4184215,61318778.74396643
2021-06-07,1528425925.6320088,60753930.39377939
2021-06-08,1509199946.7404995,70177063.7758628
2021-06-09,1597842348.239189,75096555.58508708
2021-06-10,1552872592.655976,81173972.78529727
2021-06-11,1491923061.8079069,79444738.11357601
2021-06-12,1532641243.9615371,64948725.08506549
2021-06-13,1645056229.2569966,64737776.72644143
2021-06-14,1699800875.9364467,67171272.12057133
2021-06-15,1727769757.3576977,71966980.92744753
2021-06-16,1643680666.8016346,65978424.13278512
2021-06-17,1655355907.8615317,57048604.25631024
2021-06-18,1575760556.0581665,59760360.02487483
2021-06-19,1553281987.0905604,54765378.46045135
2021-06-20,1607527078.3858347,55953351.7986894
2021-06-21,1354610799.514116,56023329.36976518
2021-06-22,1350497871.9005487,41187728.97638536
2021-06-23,1441034258.822805,40985016.83511186
2021-06-24,1470998790.6573162,46824107.71488924
2021-06-25,1372761056.867158,49102865.96374668
2021-06-26,1362958264.4319022,42092778.64696388
2021-06-27,1470769605.3841813,41067041.887407966
2021-06-28,1549607364.8880885,45693089.41350992
2021-06-29,1662588943.9038973,47945368.48517811
2021-06-30,1761252203.7209044,49211842.010780536
2021-07-01,1685989222.8989449,47729297.1199651
2021-07-02,1701313201.0978987,44716068.60062056
2021-07-03,1749590141.3685977,43750499.29740504
2021-07-04,1854074210.0335913,45556464.50695169
2021-07-05,1793950756.392123,48861584.81051932
2021-07-06,1888267834.87076,45354972.9762957
2021-07-07,1958433589.6128938,56275576.277301244
2021-07-08,1826406341.9865837,60306742.92634408
2021-07-09,2002138706.1436238,55693871.95009451
2021-07-10,1966707980.8150783,56602637.509975165
2021-07-11,2022730895.1101532,55661531.48319715
2021-07-12,1918614791.18821,54544486.90687405
2021-07-13,1792056068.2078538,50261241.12412633
2021-07-14,1825763965.1109822,46158943.39494981
2021-07-15,1747645008.719648,45041379.309102856
2021-07-16,1728128921.4862235,45249690.49028566
2021-07-17,1740624541.515854,42751688.15842003
2021-07-18,1753093990.028565,41691837.919364266
2021-07-19,1663784849.822944,42262028.97887683
2021-07-20,1645473780.9814396,39002618.9384532
2021-07-21,1850988652.8968673,39976877.84156703
2021-07-22,1939523761.2673006,51693354.27319503
2021-07-23,2035767625.1357684,52753433.38649567
2021-07-24,2139815992.9933636,53842078.93122277
2021-07-25,2126988567.7927988,52338378.9453534
2021-07-26,2173665699.9359484,52890034.174357615
2021-07-27,2300562301.4278436,53934757.85476345
2021-07-28,2441145596.155683,53980980.03029116
2021-07-29,2508336162.141381,54664616.484691806
2021-07-30,2568334467.105077,61242762.09712182
2021-07-31,2626538659.1915207,74040418.90246375
2021-08-01,2735696255.638746,100023435.01411235
2021-08-02,2832032722.472358,109539410.92130856
2021-08-03,3002418510.9063816,106016370.10215878
2021-08-04,3176112819.753789,101452041.89431325
2021-08-05,3263181987.721629,127226777.4445898
2021-08-06,3271814230.126377,144847330.7124713
2021-08-07,3492560356.720372,140733959.86157733
2021-08-08,3317557378.122079,144729144.814773
2021-08-09,3469187210.129504,128009914.2966586
2021-08-10,3660679480.6966543,142737057.9132894
2021-08-11,3653403831.008892,139386915.92244974
2021-08-12,3575639972.5440598,136441040.61629122
2021-08-13,3904332966.126564,123665947.76314089
2021-08-14,3882854658.3020053,139891014.15968645
2021-08-15,4051159508.908266,140910462.61476997
2021-08-16,4190399677.659747,138404665.4952027
2021-08-17,4340858071.646799,122911172.84426922
2021-08-18,4853648538.658997,106598743.73392583
2021-08-19,4753885993.797037,148428592.68651628
2021-08-20,5013284058.371587,162443355.76926723
2021-08-21,4879643526.506009,179718570.23272276
2021-08-22,4904055359.333874,176951618.3931742
2021-08-23,5231930366.058256,231766575.82499912
2021-08-24,5162294313.508399,249500381.717646
2021-08-25,5124227487.830263,226852910.23133835
2021-08-26,4924940983.666426,248077423.23121727
2021-08-27,5523443743.642352,230404263.8505309
2021-08-29,5656464375.205448,245871799.6276877
2021-08-30,5899530757.664261,244300989.04049367
2021-08-31,5770642097.691891,209400238.554366
2021-09-01,5967246630.194012,214125504.9332561
2021-09-02,6141396398.423748,228111415.8489216
2021-09-03,6454292476.652262,218759241.475972
2021-09-04,6742750814.581001,238504288.32192567
2021-09-05,6630580933.867662,217941973.8447635
2021-09-06,6718506677.799791,214706049.4856372
2021-09-07,6752957163.598171,205620597.9377197
2021-09-08,6568618388.562201,190012821.22211224
2021-09-09,5919403665.441244,224705751.0002864
2021-09-10,6208354931.680754,248750375.9685768
2021-09-11,6645207111.686552,272175872.91956216
2021-09-12,6718671011.978294,289772334.84608847
2021-09-13,6941483271.868396,275509562.8779246
2021-09-14,6374544618.478548,264344061.3557693
2021-09-15,6923769844.999854,280256524.8753794
2021-09-16,6946000905.168098,253553163.44772083
2021-09-17,6611530448.47126,284737094.0140082
2021-09-18,6734812965.371988,279303346.48283285
2021-09-19,6479019178.26106,288149946.0594374
2021-09-20,5777649005.117486,287666747.91490245
2021-09-21,5278958197.580731,246747736.3860296
2021-09-22,6240080016.041288,229726561.24039787
2021-09-23,6570413025.307638,271741327.9518796
2021-09-24,6337195299.326565,259365909.9323837
2021-09-25,6429449332.72798,250682021.6169697
2021-09-26,6327258528.971859,245638942.810257
2021-09-27,6337936368.594054,262503295.5888236
2021-09-28,5908492625.910571,236287203.72391468
2021-09-29,6063285055.536497,239090886.25370872
2021-09-30,6571715805.008394,235202532.21414
2021-10-01,6979156441.743213,251503780.5109228
2021-10-02,7407825479.216871,270497025.3117751
2021-10-03,7416941679.102545,261633236.6192468
2021-10-04,7622825583.864546,243444692.65264383
2021-10-05,7713144064.841167,215763593.7020192
2021-10-06,7804666312.566257,221214725.4837213
2021-10-07,7705582541.777922,215377553.828933
2021-10-08,8217360159.828011,215226849.87829617
2021-10-09,7957443411.491864,221046153.012715
2021-10-10,7960060420.41518,218074103.84315675
2021-10-11,7577219951.408569,212986716.4827141
2021-10-12,7478291867.596327,209056343.5047106
2021-10-13,7495010603.295393,195952050.70877576
2021-10-14,7675547003.49473,206304769.0008376
2021-10-15,7910686086.225987,229162451.9043544
2021-10-16,8100694775.676403,225098221.54562265
2021-10-17,8007667987.366528,208838214.4204881
2021-10-18,8129356712.085187,201926594.0125045
2021-10-19,7842359208.866921,191679596.83722824
2021-10-20,8162518114.257876,190675488.18418792
2021-10-21,9055902381.229023,212541124.13274
2021-10-22,8888982254.053837,200422457.1917936
2021-10-23,8844943590.78331,198078321.9233237
2021-10-24,9089202133.377663,204061226.63620108
2021-10-25,8972859742.607517,195735454.9582415
2021-10-26,9342398994.707378,183899087.51095203
2021-10-27,9188670051.833412,199022054.93713903
2021-10-28,8657078760.17207,180232522.9002566
2021-10-29,9444475951.670773,195243332.3437085
2021-10-30,9585148451.83037,199230418.77587008
2021-10-31,9469184595.522863,192890534.75580493
2021-11-01,9375709687.585842,183595766.1522421
2021-11-02,9486550621.666784,178161627.06873512
2021-11-03,9915548997.586256,166143984.0136083
2021-11-04,10179222730.598272,159985732.84440997
2021-11-05,10382174345.96738,156479665.5671935
2021-11-06,10203010928.626358,195752847.5285996
2021-11-07,10369774632.57883,240328297.85304663
2021-11-08,10530148494.528227,248714265.1017317
2021-11-09,10951468099.543802,252700390.1578788
2021-11-10,10616397605.49018,241664647.06553984
2021-11-11,10304650578.80992,257150584.3103848
2021-11-12,10641286377.403189,255958889.2730949
2021-11-13,10525843802.315895,268453029.5479535
2021-11-14,10627295728.313728,333663629.2210402
2021-11-15,10651656762.763935,323147315.84149283
2021-11-16,10125304469.963848,259732904.3041488
2021-11-17,9383475430.020754,235584083.31714845
2021-11-18,9666775604.907263,230617195.62563732
2021-11-19,9076356852.189783,233703867.11599785
2021-11-20,9592116206.510279,300578137.4470534
2021-11-21,9862294010.984608,294438513.5957923
2021-11-22,9283906525.362564,262808060.72542608
2021-11-23,9220307508.42424,232103978.87875152
2021-11-24,9642353394.689665,223542078.149433
2021-11-25,9339757721.687717,219927869.3386408
2021-11-26,9991469990.753553,235001522.3812556
2021-11-27,9222087074.239464,223187346.97687864
2021-11-28,9307649599.605103,210266838.95835376
2021-11-29,10204315971.76164,239052188.9416168
2021-11-30,10413358618.551079,267589790.3108775
2021-12-01,11273831763.550257,262124367.7155677
2021-12-02,11448965409.35511,237178464.5992157
2021-12-03,11626412047.861715,214034996.75161564
2021-12-04,11099651716.696985,200651685.64619875
2021-12-05,11619913723.650286,188271600.973108
2021-12-06,10914463410.176144,247800506.8466455
2021-12-07,11428110929.727257,228308517.52449527
2021-12-08,11619886092.652224,217879192.29517883
2021-12-09,11972919269.752033,227155265.009358
2021-12-10,11089075361.952288,195726027.24497423
2021-12-11,10345441623.641783,206740608.36464703
2021-12-12,10392077192.5523,194319261.74180144
2021-12-13,10728809966.716913,199142706.8322939
2021-12-14,9752769276.07893,161672262.50970894
2021-12-15,10150240944.354,190464270.72260427
2021-12-16,10634887344.48905,195948839.2577705
2021-12-17,10651566200.173512,226200699.76543376
2021-12-18,10606900417.9087,208095670.19074228
2021-12-19,11185297212.017887,198020853.3944623
2021-12-20,11507191790.879032,186596938.92058256
2021-12-21,11838478074.077288,186936939.42674944
2021-12-22,12496661072.027363,195338594.3366016
2021-12-23,12240062543.123663,201900905.6517689
2021-12-24,12997599933.030304,198346408.1769292
2021-12-25,13103609651.696474,187150283.9142946
2021-12-26,13257830671.695784,188155457.3671209
2021-12-27,13234517381.3566,176647854.40507936
2021-12-28,12663980502.425924,190138600.18715373
2021-12-29,11987365372.620193,195863384.92197075
2021-12-30,11623215488.165958,174347674.5850716
2021-12-31,11742907288.06084,195691281.9946712
2022-01-01,11929641642.784334,205905453.9766401
2022-01-02,12467491871.155567,247262309.42621663
2022-01-03,12491296642.681414,244601586.4932555
2022-01-04,12316385857.807325,220589011.863173
2022-01-05,12235291133.600374,221113678.2978249
2022-01-06,11363306915.4772,213405602.6320574
2022-01-07,10986528319.540064,196277234.9651253
2022-01-08,10240149691.296825,185954141.9494693
2022-01-09,9873245948.000425,189259746.12460607
2022-01-10,10356055899.40762,209272831.7045668
2022-01-11,9938852312.197382,192229453.89645463
2022-01-12,10570306750.5121,211259722.5883321
2022-01-13,11347188541.420017,206961649.27464932
2022-01-14,10964995451.351446,191593866.8326616
2022-01-15,11200072240.128595,182990608.3835733
2022-01-16,11625822458.45876,180155963.5026957
2022-01-17,11641630131.99554,178464740.31299445
2022-01-18,10946148992.017954,156819787.31647527
2022-01-19,10951566496.119265,170984876.9806647
2022-01-20,10890076482.05805,161646526.25972006
2022-01-21,10612924408.78212,166067039.13286084
2022-01-22,8918160780.972227,144776454.54414237
2022-01-23,8792983908.20991,128250653.7713259
2022-01-24,9193162773.591774,128806429.60230342
2022-01-25,8768612208.702065,125938951.41594264
2022-01-26,8721859539.721828,135066499.32122263
2022-01-27,8955346515.815311,130258846.24861924
2022-01-28,8057361161.674211,128494901.41911796
2022-01-29,8114759697.013101,136104803.9753623
2022-01-30,8154307092.292091,134329827.92857423
2022-01-31,7741523020.973482,145981089.8233863
2022-02-01,8352196700.215948,163392678.87528825
2022-02-02,8626655568.13682,166595872.2843625
2022-02-03,8137376340.885584,195212312.9679909
2022-02-04,8343472391.532188,179926900.63882414
2022-02-05,9062155475.86703,186786716.3223314
2022-02-06,9355503469.393877,188641693.34894955
2022-02-07,9425857704.324413,191469809.4022573
2022-02-08,9849093652.89838,208044695.6298361
2022-02-09,9684040171.465967,202287670.4737819
2022-02-10,9867501784.779657,192371710.36084884
2022-02-11,9323790420.87099,166319798.4803992
2022-02-12,8869054240.64331,155316392.68776697
2022-02-13,8908597057.959175,158114935.1941059
2022-02-14,8868500071.649525,145028911.7997822
2022-02-15,9109277367.409533,150171371.46811813
2022-02-16,9764632045.528988,173090371.7409544
2022-02-17,10776992706.787998,181972966.0591482
2022-02-18,9849181387.578234,161771586.7945572
2022-02-19,9635770088.029425,153045182.12855262
2022-02-20,9568527335.718323,148960227.79222903
2022-02-21,9284020360.25889,132996193.1767554
2022-02-22,9176455049.304268,137003884.02081233
2022-02-23,9579482020.189253,171998159.4513702
2022-02-24,10183384770.46444,155024640.85144982
2022-02-25,10570784656.794823,149747272.47070616
2022-02-26,11549488244.897587,167272186.2982126
2022-02-27,12085656238.394686,166183149.9047325
2022-02-28,11178505823.233002,167251659.7289177
2022-03-01,13825763846.793716,194542916.12343016
2022-03-02,13946529494.27145,215443918.36749288
2022-03-03,14035992618.714539,214531449.32124755
2022-03-04,13556692075.069702,223214779.2753804
2022-03-05,12480064598.4248,232852777.84923252
2022-03-06,13033542657.065683,238230444.7946779
2022-03-07,12120705188.562403,215816483.4167201
2022-03-08,12179712553.103546,211653409.97406065
2022-03-09,13490907049.630993,208244599.833908
2022-03-10,14963489373.700888,257951960.2783485
2022-03-11,14337221102.51492,248714991.66539788
2022-03-12,13641674320.60418,243343442.3510016
2022-03-13,13512750907.134298,263039737.5174829
2022-03-14,13457150512.45325,266908040.80975744
2022-03-15,14236206290.646603,252289291.7525581
2022-03-16,14296430953.450964,294736088.2172896
2022-03-17,14926073787.943668,345085817.8594242
2022-03-18,14746238057.352554,314086201.51720417
2022-03-19,15747370146.50937,354947578.65397346
2022-03-20,16062992039.224136,399774282.9524666
2022-03-21,15733361492.535698,340799370.2831024
2022-03-22,16314501506.485752,390257706.7295658
2022-03-23,16354448950.344978,412744050.5369104
2022-03-24,16597542811.728199,572304189.1280366
2022-03-25,16722121023.855772,596215604.3468232
2022-03-26,16350601272.138575,571563550.8645542
2022-03-27,16625411693.560347,536877402.1456467
2022-03-28,17267464636.097607,592090296.8564624
2022-03-29,17980982698.608112,627871772.995029
2022-03-30,18829392484.41287,1128109710.48867
2022-03-31,18882952743.934826,1111900361.1215177
2022-04-01,18766260162.63573,1070540455.1605169
2022-04-02,19461202817.29795,1231256585.9835482
2022-04-03,20366963551.437107,1279023986.7183435
2022-04-04,20323921629.71998,1402663986.3666136
2022-04-05,20834599651.002518,1441417349.525819
2022-04-06,20404782354.66908,1315479230.225587
2022-04-07,19247409681.76432,1101500691.0373318
2022-04-08,19241404990.296474,1118160305.8361328
2022-04-09,18508106396.33293,1004103726.3963348
2022-04-10,18855775492.89862,1040023711.9696726
2022-04-11,18489885366.451447,1044604843.7020612
2022-04-12,17057217092.507412,858887674.6600362
2022-04-13,17244116893.81789,851715720.322962
2022-04-14,18020403754.4611,980758576.2022156
2022-04-15,17220771341.32525,844218860.9980326
