Date,Lido.5,market_cap
1/5/2021,16274684.16,5193325.775
1/6/2021,18325628.5,5193325.775
1/7/2021,20965573.75,5667691.609
1/8/2021,22570112.84,4586996.158
1/9/2021,25529569.34,4803312.258
1/10/2021,26299896.12,2728719.816
1/11/2021,33624539.75,3216775.302
1/12/2021,28869701.75,2865817.823
1/13/2021,30663261.61,2659361.263
1/14/2021,50094240.95,3367904.433
1/15/2021,73598480.99,3418068.785
1/16/2021,81861176.08,3061676.4
1/17/2021,85283818.3,2855813.419
1/18/2021,86160071.79,6889235.633
1/19/2021,87391374.58,6954148.213
1/20/2021,99335242.46,7679713.022
1/21/2021,100287613.8,6914900.995
1/22/2021,96701078.68,5492554.314
1/23/2021,92488787.18,5591096.062
1/24/2021,110569488.8,6848073.871
1/25/2021,121085410.3,12162866.21
1/26/2021,127510734.1,9344765.824
1/27/2021,127250330.2,16672800.3
1/28/2021,126687251.2,13629666.74
1/29/2021,130256710.7,12315638.1
1/30/2021,137228376.3,12688985.86
1/31/2021,135996393.5,12274278.53
2/1/2021,142145275.3,17579716.31
2/2/2021,142743932.6,26355834.94
2/3/2021,167649885.7,25648561.9
2/4/2021,192995719.6,27257705.69
2/5/2021,207027159.8,24113035
2/6/2021,211317161.2,26127684.17
2/7/2021,222659990.4,23558542.73
2/8/2021,223083142.3,22346925.65
2/9/2021,226682734.5,23713914.71
2/10/2021,244636373.6,22316138.57
2/11/2021,258690801.9,19454759.24
2/12/2021,257373193.5,31277276.87
2/13/2021,255301490.1,32401022.58
2/14/2021,261404596.7,34112061.06
2/15/2021,300220386.9,34390632.04
2/16/2021,289892552.5,35684874.83
2/17/2021,294701079.8,36809712.63
2/18/2021,298817631.4,30420169.28
2/19/2021,340560743.3,29408699.11
2/20/2021,347618380.5,24133677.53
2/21/2021,363633943.8,21329626.06
2/22/2021,357021502.4,21487987.11
2/23/2021,333163674.6,19677117.79
2/24/2021,267003427,15103003.21
2/25/2021,303534847.4,14604686.4
2/26/2021,294421081.3,13690033.66
2/27/2021,270362309.3,13042412.29
2/28/2021,269803675.9,12854253.4
3/1/2021,250111049.1,11617309.18
3/2/2021,279680304.4,11811847.72
3/3/2021,284790615.2,12242565.72
3/4/2021,294543162.6,11853675.11
3/5/2021,287090601.6,9733794.814
3/6/2021,272111645.8,11017868.61
3/7/2021,288340247,11386037.09
3/8/2021,308683748.1,10165413.67
3/9/2021,316855760.4,10995633.05
3/10/2021,337615557.6,11081128.05
3/11/2021,338318383,9828673.839
3/12/2021,329516422.6,12878093.07
3/13/2021,332363356.1,12002900.3
3/14/2021,343424416.2,12316440.05
3/15/2021,350346676.1,11750630.01
3/16/2021,332987874.9,11531046.51
3/17/2021,336938520.5,12605473.69
3/18/2021,460583632,12644920.08
3/19/2021,509773361,11752894.97
3/20/2021,574607276.4,11459666.01
3/21/2021,587935872.8,12039055.75
3/22/2021,602769063.3,10826825.17
3/23/2021,618289929.8,10435175.35
3/24/2021,569500275.6,11392582.72
3/25/2021,606935658.6,11194695.04
3/26/2021,583873492.2,10928169.5
3/27/2021,625796928.8,10779604.36
3/28/2021,630767135.1,13077524.4
3/29/2021,649286652.9,12793547.83
3/30/2021,704078283.9,12946647.62
3/31/2021,741152297.3,18980215.19
4/1/2021,743763681.8,22549386.1
4/2/2021,779177993.8,23610399.34
4/3/2021,799026221.5,25487383.32
4/4/2021,821105326.7,29680350.5
4/5/2021,807264483.1,30570592.63
4/6/2021,804754966.3,25604551.23
4/7/2021,810757400.1,23283083.56
4/8/2021,805140938.9,23472893.62
4/9/2021,819712012.9,24596974.36
4/10/2021,934439179.6,24689734.93
4/11/2021,965035169.2,35473827.95
4/12/2021,951022763.9,32308824.94
4/13/2021,981448867.5,27725107.28
4/14/2021,1073726482,29837988.89
4/15/2021,1080081950,24750694.82
4/16/2021,1131586581,25261749.11
4/17/2021,1154120908,28327831.98
4/18/2021,1161711743,27988433.26
4/19/2021,991105854.9,23602794.56
4/20/2021,1189430788,22951457.11
4/21/2021,1089818461,24637049.84
4/22/2021,1160402395,23472881.58
4/23/2021,1228013431,22707342.07
4/24/2021,1101462978,21633086.87
4/25/2021,1187254630,22293375.25
4/26/2021,1271627757,24045857.31
4/27/2021,1385400253,24257595.43
4/28/2021,1455239310,34295246.26
4/29/2021,1430439245,46200392.25
4/30/2021,1475154400,47736197.82
5/1/2021,1511692567,70555213.31
5/2/2021,1511145432,66594579.96
5/3/2021,1567952725,285560320.2
5/4/2021,1716457044,556626742.5
5/5/2021,1700927524,478402720.8
5/6/2021,1764741635,671228537.2
5/7/2021,1782883842,381809234.2
5/8/2021,1867000732,430244675.2
5/9/2021,1981645032,595016976.9
5/10/2021,2145406107,553858996.8
5/11/2021,2216323676,543578162.9
5/12/2021,2125008558,545372678.7
5/13/2021,2261368556,489553783.4
5/14/2021,2194510146,460308267.7
5/15/2021,2009113421,490062365.1
5/16/2021,2044538183,445387311
5/17/2021,1889629618,406685520.2
5/18/2021,1973541991,87000084.67
5/19/2021,1366850255,114676878.7
5/20/2021,1503975801,70270019.33
5/21/2021,1197332029,88671457.61
5/22/2021,1268520009,62443517.33
5/23/2021,1089389749,54958952.86
5/24/2021,1436918533,48596575.86
5/25/2021,1457761756,67180288
5/26/2021,1572288635,76762422.05
5/27/2021,1541603699,74055363.14
5/28/2021,1369256785,64701525
5/29/2021,1284551120,51453827.54
5/30/2021,1371812777,48908815.41
5/31/2021,1568761944,54761989.3
6/1/2021,1536235064,65456496.38
6/2/2021,1614326124,61696592.92
6/3/2021,1740486738,66261075.71
6/4/2021,1621178894,69151928.26
6/5/2021,1545877559,63841802.39
6/6/2021,1607248302,61318778.74
6/7/2021,1528425926,60753930.39
6/8/2021,1509199947,70177063.78
