Date,Timestamp,Rocket Pool,Rocket-TVL,Rocket Pool,Rocket Pool,Rocket Pool,Rocket Pool,Rocket Pool,Rocket Pool,Rocket Pool,Rocket Pool
,,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking
,,ethereum,Total,ethereum,ethereum,Total,Total,ethereum,ethereum,Total,Total
,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens
,,,,WETH,RPL,WETH,RPL,WETH,RPL,WETH,RPL
3/11/2021,1635897600,792862.7866,792862.7866,430015.7091,362847.0775,430015.7091,362847.0775,96.99983644,9700,96.99983644,9700
4/11/2021,1635984000,923569.5279,923569.5279,441764.9966,481804.5313,441764.9966,481804.5313,96.99983644,9700,96.99983644,9700
5/11/2021,1636070400,997118.0139,997118.0139,510107.9596,487010.0543,510107.9596,487010.0543,112.9998364,9700,112.9998364,9700
6/11/2021,1636156800,1423934.689,1423934.689,725446.2059,698488.4833,725446.2059,698488.4833,160.9998364,13150,160.9998364,13150
7/11/2021,1636243200,1417137.774,1417137.774,707432.5798,709705.194,707432.5798,709705.194,160.9998364,13246.26935,160.9998364,13246.26935
8/11/2021,1636329600,1483691.396,1483691.396,739366.1252,744325.271,739366.1252,744325.271,160.9998364,13246.26935,160.9998364,13246.26935
9/11/2021,1636416000,1533198.102,1533198.102,763282.8662,769915.2361,763282.8662,769915.2361,160.9998364,13246.26935,160.9998364,13246.26935
10/11/2021,1636502400,19447195.46,19447195.46,4886257.802,14560937.66,4886257.802,14560937.66,1019.976336,249711.2609,1019.976336,249711.2609
11/11/2021,1636588800,21939981.88,21939981.88,7315359.427,14624622.45,7315359.427,14624622.45,1540.18183,272783.9045,1540.18183,272783.9045
12/11/2021,1636675200,25633635.22,25633635.22,7563549.211,18070086.01,7563549.211,18070086.01,1599.99183,339743.9669,1599.99183,339743.9669
13/11/2021,1636761600,28679908.46,28679908.46,7419272.269,21260636.2,7419272.269,21260636.2,1599.99183,410746.624,1599.99183,410746.624
14/11/2021,1636848000,31063107.67,31063107.67,7401685.918,23661421.75,7401685.918,23661421.75,1599.99183,457798.4747,1599.99183,457798.4747
15/11/2021,1636934400,37709088.5,37709088.5,7378517.299,30330571.2,7378517.299,30330571.2,1599.99183,594432.6804,1599.99183,594432.6804
16/11/2021,1637020800,48715277.21,48715277.21,16391940.86,32323336.34,16391940.86,32323336.34,3466.884289,620036.0804,3466.884289,620036.0804
17/11/2021,1637107200,45142339.1,45142339.1,15868511.32,29273827.78,15868511.32,29273827.78,3717.841227,625064.3477,3717.841227,625064.3477
18/11/2021,1637193600,45704973.04,45704973.04,16088428.91,29616544.13,16088428.91,29616544.13,3774.913958,628644.1089,3774.913958,628644.1089
19/11/2021,1637280000,45738700.75,45738700.75,16367482.71,29371218.03,16367482.71,29371218.03,3862.456424,632591.1582,3862.456424,632591.1582
