Date,Rocket-TVL,market_cap
3/1/2023,1063654629,892537407.3
3/2/2023,1092767971,894330870.5
3/3/2023,1059117209,849249588.7
3/4/2023,1012069421,788101439.8
3/5/2023,997097763.3,752010869.3
3/6/2023,1005048512,772551314.3
3/7/2023,991313966.2,745745878.7
3/8/2023,964872285.5,704615851.5
3/9/2023,951382897,709416359.7
3/10/2023,902132042.3,699710697.8
3/11/2023,904609809.6,679432005
3/12/2023,904652194.3,654071732.6
3/13/2023,998734467.6,710325996.7
3/14/2023,1067784945,821728562
3/15/2023,1079958629,826302229.5
3/16/2023,1043742301,744201172.3
3/17/2023,1063029353,797461374.5
3/18/2023,1139268175,826723821.6
3/19/2023,1132360178,815228820.3
3/20/2023,1131494390,836765694.9
3/21/2023,1112919084,788844378.3
3/22/2023,1131514255,789386240.3
3/23/2023,1089791579,744529659.9
3/24/2023,1129432123,775627239.2
3/25/2023,1091858425,737601030.9
3/26/2023,1091300267,744958322.8
3/27/2023,1129480436,814150360.7
3/28/2023,1084877799,774545171.3
3/29/2023,1160008919,878951467.9
3/30/2023,1169100311,881133549.4
3/31/2023,1159142218,827982892
4/1/2023,1169730042,850092150.5
4/2/2023,1173742667,859476844.2
4/3/2023,1157947124,840489617.1
4/4/2023,1164252897,835931828.9
4/5/2023,1255177480,896867237.2
4/6/2023,1262719574,908490993.8
4/7/2023,1242328165,883593529.9
4/8/2023,1225392760,865755869.3
4/9/2023,1230144846,871165776.8
4/10/2023,1231598624,863875085.7
4/11/2023,1277041181,909971327.2
4/12/2023,1232101268,837621447
4/13/2023,1239694999,824544146.8
4/14/2023,1377562988,890303866.7
4/15/2023,1401643408,987202180.7
4/16/2023,1414105323,1002135211
4/17/2023,1447011486,1141751431
4/18/2023,1438624136,1068518311
4/19/2023,1481431874,1087233165
4/20/2023,1386142745,985429751.6
4/21/2023,1367041822,910539943.6
4/22/2023,1328062616,856295573.1
4/23/2023,1357709330,907839409.7
4/24/2023,1368708988,895981694.8
4/25/2023,1361389788,890172407.4
4/26/2023,1407135798,907553412
4/27/2023,1468126876,906776452.7
4/28/2023,1466130143,915943541.8
4/29/2023,1463825060,892403764.8
4/30/2023,1492467319,911154006.1
