Date,Rocket-TVL,market_cap
2021-11-03,792862.7866,796723904.9232172
2021-11-04,923569.5279,810770142.5680469
2021-11-05,997118.0139,824708075.1220607
2021-11-06,1423934.689,873024945.0129908
2021-11-07,1417137.774,891323256.3662575
2021-11-08,1483691.396,916214580.562408
2021-11-09,1533198.102,959557928.0847104
2021-11-10,19447195.46,870167470.5893832
2021-11-11,21939981.88,844639247.7409014
2021-11-12,25633635.22,866701199.289973
2021-11-13,28679908.46,843923896.910697
2021-11-14,31063107.67,840042740.6803756
2021-11-15,37709088.5,822461897.901124
2021-11-16,48715277.21,817991061.7518296
2021-11-17,45142339.1,758153761.1293143
2021-11-18,45704973.04,753340342.6138171
2021-11-19,45738700.75,696518196.3101126
2021-11-20,45514502.21,754866642.5165235
2021-11-21,49649726.81,786292400.6990175
2021-11-22,51445496.48,779360235.1612536
2021-11-23,74861926.81,730231088.7998697
2021-11-24,109568211.8,769873718.0927911
2021-11-25,121711695.9,767026178.8088406
2021-11-26,136632304,826590205.0199759
2021-11-27,127180184.4,713576598.2947624
2021-11-28,131204415.7,722959551.3665489
2021-11-29,147468339.7,761359758.9100688
2021-11-30,172680249.1,788701378.2516829
2021-12-01,187244666.4,834715107.2609886
2021-12-02,188534715.7,824431177.2278268
2021-12-03,189937812,806463050.8842814
2021-12-04,189138453.9,742376295.5064988
2021-12-05,186911788.9,738449413.8539369
2021-12-06,196603545.6,750851774.6545165
2021-12-07,214576871.3,787304785.5250074
2021-12-08,247588080.3,806330053.8506548
2021-12-09,275553932.3,838707066.6680909
2021-12-10,268941696.5,784994651.8678348
2021-12-11,279051495.8,762459890.7450186
2021-12-12,292626848.6,772891042.8042284
2021-12-13,311235790.5,794705606.0434922
2021-12-14,292116910.2,736225156.0986718
2021-12-15,298572217.3,726085426.7883846
2021-12-16,315156222,751582981.5339453
2021-12-17,310542053.6,738617915.7934256
2021-12-18,306567679.3,722317845.307645
2021-12-19,325018141.3,750702664.5318063
2021-12-20,331023302.2,748272553.1261834
