Date,Stader-TVL-total,market_cap
2021-12-18,334046438.5,
2021-12-19,389349816.1,
2021-12-20,415890439.5,
2021-12-21,449742246.7,
2021-12-22,492935274.1,
2021-12-23,484074118.2,
2021-12-24,531231113.7,
2021-12-25,544302152.5,
2021-12-26,541885842.3,
2021-12-27,548021468.2,
2021-12-28,509360769,
2021-12-29,483030871.7,
2021-12-30,468652964.4,
2021-12-31,474284271.9,
2022-01-01,484002292.8,
2022-01-02,512009953.3,
2022-01-03,504722417.9,
2022-01-04,498422372.9,
2022-01-05,483133856.6,
2022-01-06,448375511.1,
2022-01-07,438691727,
2022-01-08,399915776.9,
2022-01-09,384403340,
2022-01-10,419970953.4,
2022-01-11,393361616.4,
2022-01-12,422442225.7,
2022-01-13,470006802.2,
2022-01-14,452249607.7,
2022-01-15,468802836.8,
2022-01-16,502436676,
2022-01-17,507953301,
2022-01-18,460306808.7,
2022-01-19,478782654.7,
2022-01-20,487555849.7,
2022-01-21,480896475.7,
2022-01-22,399915233.2,
2022-01-23,407016318.5,
2022-01-24,419730881.7,
2022-01-25,394066422.3,
2022-01-26,373425084.7,
2022-01-27,367185572.7,
2022-01-28,320487628.4,
2022-01-29,297765363.1,
2022-01-30,296199196.4,
2022-01-31,263826723,
2022-02-01,288623735.6,
2022-02-02,298335270.2,
2022-02-03,274169686.5,
2022-02-04,293252160.3,
2022-02-05,308486744.6,
2022-02-06,324749589.2,
2022-02-07,325934273.1,
2022-02-08,345192152.9,
2022-02-09,336526680.9,
2022-02-10,341710349.7,
2022-02-11,311005815.3,
2022-02-12,303117997.7,
2022-02-13,312989756.9,
2022-02-14,311445554.2,
2022-02-15,324555978.2,
2022-02-16,344072034.6,
2022-02-17,340938380.6,
2022-02-18,309528679.5,
2022-02-19,324536933.7,
2022-02-20,316752978.9,
2022-02-21,310637719.6,
2022-02-22,319583014.2,
2022-02-23,358525374.7,
2022-02-24,403995280.5,
2022-02-25,441311455,
2022-02-26,501558974.5,
2022-02-27,545465374.9,
2022-02-28,500183708.8,
2022-03-01,748260804.9,
2022-03-02,746585449.1,
2022-03-03,767068432.1,
2022-03-04,794132430.3,
2022-03-05,726531952.5,
2022-03-06,777374441.6,
2022-03-07,706501659.4,
2022-03-08,707256427.2,
2022-03-09,772402296.4,
2022-03-10,862340820.5,
2022-03-11,862522242.4,
2022-03-12,775610125.5,
2022-03-13,757604428.2,
2022-03-14,748808373.1,
2022-03-15,808750117.7,0.0
2022-03-16,757776460.8,0.0
2022-03-17,749648470.7,0.0
2022-03-18,733228039.6,0.0
2022-03-19,763667061.9,0.0
2022-03-20,779173341.1,0.0
2022-03-21,771418240.7,0.0
2022-03-22,812775989.8,0.0
2022-03-23,787897718.4,19496257.098009888
2022-03-24,799287735.6,19098401.291085724
2022-03-25,794029648.1,19416662.593406424
2022-03-26,761559895.2,20430785.745795555
2022-03-27,769148825.1,20029209.58041147
2022-03-28,792506107.2,21372442.166757066
2022-03-29,816090949,22808125.335742667
2022-03-30,910773986.1,21794229.741019093
2022-03-31,905667466.4,21814838.075246155
2022-04-01,869213160.7,22058653.55947878
2022-04-02,896727297.7,21605532.443644136
2022-04-03,963375091.8,22682359.68758887
2022-04-04,963586393.5,27077260.814975586
