Date,Stader-TVL-total,market_cap
3/1/2023,120122760.4,27868473.47
3/2/2023,123964363.1,28773033.42
3/3/2023,121472166.6,30114187.95
3/4/2023,116675329.8,26518518.91
3/5/2023,113550688,26637654.35
3/6/2023,114712972.6,26793179.48
3/7/2023,115254765.5,25735376.93
3/8/2023,115188154.8,25124573.3
3/9/2023,108869034.8,24443010.26
3/11/2023,110145802.1,18767198.35
3/12/2023,106529520.5,18940032.87
3/13/2023,116785803,22777341.62
3/14/2023,120694632.3,23612028.88
3/15/2023,123289755.4,25618109.82
3/16/2023,113944746.6,25207072.31
3/17/2023,115408914.5,25862227.04
3/18/2023,125921566.2,27293030.26
3/19/2023,122849778.5,26934783.4
3/20/2023,122070055.1,26653779.49
3/21/2023,118889764.3,25267741.86
3/22/2023,119295703.5,26087885.2
3/23/2023,116614407.1,25165921.41
3/24/2023,113637147.5,24995670.35
3/25/2023,110521178.5,21601192.79
3/26/2023,108594979.2,22959649.17
3/27/2023,111902034.4,24313543.93
3/28/2023,107985653,24043488.52
3/29/2023,109778002.4,23684216.76
3/30/2023,114213454.8,23955857.19
3/31/2023,115766100.7,25028369.74
4/1/2023,119141289.3,26468592.25
4/2/2023,119273199.6,25307498.33
4/5/2023,120899049.5,30272002.21
4/6/2023,118123437.9,36561329.14
4/7/2023,118419259.1,40160134.44
4/8/2023,116499060.6,39323572.93
4/9/2023,117422328.2,34478387.93
4/10/2023,117147557.1,31421385.2
4/11/2023,119912648.4,31103674.02
4/12/2023,119643671.2,31685781.37
4/13/2023,120449884.4,30506328.99
4/14/2023,126010615.4,30043127.28
4/15/2023,125666573.8,34301449.64
4/16/2023,126619823,32673518.97
4/17/2023,126462383.9,31339655.96
4/18/2023,125339744.1,32279912.03
4/19/2023,128207343.6,31330678.24
4/20/2023,120480777.3,26900410.54
4/21/2023,119152313.2,26009733.43
4/22/2023,114761847.7,27558383.49
4/23/2023,116408748.4,27948961.18
4/24/2023,115957115.5,25619657.03
4/25/2023,113640285.5,26565642.37
4/26/2023,116346859.3,27046801.4
4/27/2023,116959716,27124531.93
4/28/2023,114290668.4,26354105
4/29/2023,112735670.8,25118103.61
4/30/2023,113770364.3,26497773.58
5/1/2023,113299334.9,26648207.28
5/2/2023,109003330.4,24808340.05
5/3/2023,109276953.7,26318930.44
5/4/2023,122509725.3,25969724.45
5/5/2023,119457010.4,25665466.09
5/6/2023,121166099.6,24770091.95
5/7/2023,118404948,25645438.55
5/8/2023,116541728.8,25106741.46
5/9/2023,109438250.6,24263567.51
5/10/2023,108347699.8,23627146.68
5/11/2023,107487177.2,24244515.06
5/12/2023,103853991.3,22644194.07
5/13/2023,105232413,23257858.54
5/14/2023,104108964.2,23059047.5
5/15/2023,103789442.8,23071462.28
5/16/2023,105465236.3,23297476.66
5/17/2023,104709261.5,24113317.13
5/18/2023,107542818.3,23620245.39
5/19/2023,105504852,23270476.81
5/20/2023,105212828.1,23093372.5
5/21/2023,106469384.8,22862661.94
5/22/2023,103182315.2,22685866.42
5/23/2023,105141159.1,24106080.29
5/24/2023,107182647.4,24833453.91
5/25/2023,105466390.2,24778249.27
5/26/2023,107342101.7,24387920.1
5/27/2023,109154755,24810036.17
5/28/2023,111101820.4,24904683.2
5/29/2023,113151913.9,25951121.55
5/30/2023,109650797.5,26696803.16
5/31/2023,109479316.9,27136834.55
6/1/2023,107357448.6,25645874.77
6/2/2023,107157260.7,25057920.46
6/3/2023,108333778,24856123.62
6/4/2023,108525456.4,24767470.92
6/5/2023,108192028.5,22662114.84
6/6/2023,101181689.4,22884352.16
6/7/2023,101157270.6,25471940.95
6/8/2023,95569901.5,25263618.35
6/9/2023,96661228.65,24786763.57
6/10/2023,91149802.67,24214903.19
6/11/2023,80016770.87,23135425.24
6/12/2023,81861909.99,23099286.02
6/13/2023,82326347.26,22697884.16
6/14/2023,84848990.66,22628738.9
6/15/2023,82310338.33,19481852.88
6/16/2023,77850519.19,19643289.99
6/17/2023,78940754.05,19700308.15
6/18/2023,81212509.16,19959527.56
6/19/2023,80435079.1,19757807.91
6/20/2023,82516502.62,20284184.26
6/21/2023,86395982.08,20896839.28
6/22/2023,92260614.4,21972841.12
6/23/2023,89291292.93,23309891.26
6/24/2023,91480684.66,22857613.12
6/25/2023,89345538.52,22316925.91
6/26/2023,90555050.71,22288299.19
6/27/2023,89877470.5,22641250.65
6/28/2023,89414405,22381918.64
6/29/2023,85163879.74,22176327.09
6/30/2023,86646892.81,22056129.83
7/1/2023,91247977.37,22957640.54
7/2/2023,92385758.47,24176147
7/3/2023,92605435.01,29124232.14
7/4/2023,95458223.41,31604500.79
7/5/2023,93532039.53,32865918.28
7/6/2023,89843267.01,34580324.76
7/7/2023,88688431,33641439.49
7/8/2023,91604241.89,31800091.09
7/9/2023,92695010.84,29469433
7/10/2023,92218490.92,29234508.96
7/11/2023,97820508.94,27698831.59
7/12/2023,108857285.3,25288742.86
7/13/2023,107412538.9,25918275.23
7/14/2023,124384517.2,25453265.5
7/15/2023,117301036.8,24879826.59
7/16/2023,117870649.6,23990184.48
7/17/2023,113965213.4,23421564.34
7/18/2023,117408461.1,25333052.54
7/19/2023,119008538.1,25841215.36
7/20/2023,121030499.3,24064526.89
7/21/2023,121518085.6,22963672.19
7/22/2023,122461284,22590596.56
7/23/2023,118112967.7,22510445.97
7/24/2023,122136320.6,23002470.28
7/25/2023,117922298.9,22913635.92
7/26/2023,116594002.2,22362183.72
7/27/2023,117500429.9,22390602.14
7/28/2023,117810378.9,22438498.57
